# Samples,Train,Test
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000000e+02,1.324503421783447266e+00,1.000213623046875000e-02
2.560000000000000000e+02,2.275720596313476562e+00,5.000829696655273438e-03
3.840000000000000000e+02,3.361140012741088867e+00,7.004261016845703125e-03
5.120000000000000000e+02,4.317453622817993164e+00,9.007692337036132812e-03
6.400000000000000000e+02,5.415820598602294922e+00,1.099753379821777344e-02
7.680000000000000000e+02,6.560225725173950195e+00,1.200318336486816406e-02
8.960000000000000000e+02,7.519567966461181641e+00,1.398825645446777344e-02
1.024000000000000000e+03,9.595258474349975586e+00,2.500844001770019531e-02
1.152000000000000000e+03,1.081066989898681641e+01,2.800965309143066406e-02
1.280000000000000000e+03,1.172898197174072266e+01,3.101015090942382812e-02
1.408000000000000000e+03,1.277433657646179199e+01,3.301119804382324219e-02
1.536000000000000000e+03,1.385970497131347656e+01,3.501200675964355469e-02
1.664000000000000000e+03,1.494707417488098145e+01,3.701281547546386719e-02
1.792000000000000000e+03,1.605344963073730469e+01,3.901314735412597656e-02
1.920000000000000000e+03,1.721984601020812988e+01,4.301476478576660156e-02
