# Samples,Train,Test
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000000e+02,8.156653881072998047e+00,0.000000000000000000e+00
2.560000000000000000e+02,8.687980413436889648e+00,1.562643051147460938e-02
3.840000000000000000e+02,9.969297885894775391e+00,1.562643051147460938e-02
5.120000000000000000e+02,1.082872247695922852e+01,1.562643051147460938e-02
6.400000000000000000e+02,1.142250466346740723e+01,1.562619209289550781e-02
7.680000000000000000e+02,1.234443044662475586e+01,3.125166893005371094e-02
8.960000000000000000e+02,1.386013889312744141e+01,3.125286102294921875e-02
1.024000000000000000e+03,1.448517298698425293e+01,3.125238418579101562e-02
1.152000000000000000e+03,1.515708494186401367e+01,3.125286102294921875e-02
1.280000000000000000e+03,1.621964335441589355e+01,4.687857627868652344e-02
1.408000000000000000e+03,1.704781436920166016e+01,4.687833786010742188e-02
1.536000000000000000e+03,1.803224372863769531e+01,4.687881469726562500e-02
1.664000000000000000e+03,1.915730524063110352e+01,6.250333786010742188e-02
1.792000000000000000e+03,2.036049771308898926e+01,6.250405311584472656e-02
1.920000000000000000e+03,2.231373047828674316e+01,6.250429153442382812e-02
