# Samples,Train,Test
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000000e+02,1.081161952018737793e+01,6.002664566040039062e-03
2.560000000000000000e+02,1.182501244544982910e+01,1.000332832336425781e-02
3.840000000000000000e+02,1.336453652381896973e+01,1.300477981567382812e-02
5.120000000000000000e+02,1.477601742744445801e+01,1.900625228881835938e-02
6.400000000000000000e+02,1.641357064247131348e+01,2.400803565979003906e-02
7.680000000000000000e+02,1.864632987976074219e+01,4.501557350158691406e-02
8.960000000000000000e+02,1.948256158828735352e+01,3.125214576721191406e-02
1.024000000000000000e+03,2.057925963401794434e+01,3.125476837158203125e-02
1.152000000000000000e+03,2.171994590759277344e+01,4.687905311584472656e-02
1.280000000000000000e+03,2.279813170433044434e+01,3.125309944152832031e-02
1.408000000000000000e+03,2.426695990562438965e+01,4.687809944152832031e-02
1.536000000000000000e+03,2.653271412849426270e+01,4.687643051147460938e-02
1.664000000000000000e+03,2.664209365844726562e+01,7.813000679016113281e-02
1.792000000000000000e+03,2.828281068801879883e+01,6.250548362731933594e-02
1.920000000000000000e+03,2.759526968002319336e+01,6.250500679016113281e-02
