Date,Open,High,Low,Close,Volume,Adj Close
2016-11-02,37.134,37.765,36.291,36.625,000,36.625
2016-11-01,37.844,37.844,37.01,37.27,200,37.27
2016-10-31,38.093,38.238,37.829,37.829,000,37.829
2016-10-28,38.197,38.413,37.945,37.945,100,37.945
2016-10-27,38.509,38.603,38.432,38.432,000,38.432
2016-10-26,38.889,38.889,38.47,38.47,000,38.47
2016-10-25,39.072,39.211,39.025,39.06,000,39.06
2016-10-24,38.72,39.055,38.664,39.055,000,39.055
2016-10-21,38.60,38.69,38.388,38.69,000,38.69
2016-10-20,38.95,38.95,38.665,38.76,000,38.76
2016-10-19,38.337,38.96,38.337,38.789,000,38.789
2016-10-18,37.972,38.728,37.972,38.125,000,38.125
2016-10-17,37.42,37.892,37.42,37.892,000,37.892
2016-10-14,37.624,37.887,37.624,37.745,000,37.745
2016-10-13,38.087,38.087,37.505,37.695,000,37.695
2016-10-12,38.668,38.668,38.296,38.33,000,38.33
2016-10-11,39.585,39.585,38.535,38.535,200,38.535
2016-10-10,38.416,39.318,38.315,39.318,200,39.318
2016-10-07,38.727,38.91,38.65,38.65,000,38.65
2016-10-06,38.908,39.105,38.825,39.105,000,39.105
2016-10-05,38.406,38.995,38.406,38.82,000,38.82
2016-10-04,38.428,38.717,38.428,38.43,000,38.43
2016-10-03,38.355,38.355,38.355,38.355,000,38.355
2016-09-30,37.749,38.375,37.749,38.355,100,38.355
2016-09-29,38.718,38.776,37.871,37.952,000,37.952
2016-09-28,38.532,38.866,38.438,38.66,000,38.66
2016-09-27,37.682,38.525,37.557,38.525,000,38.525
2016-09-26,37.901,37.901,37.331,37.331,800,37.331
2016-09-23,38.459,38.89,38.315,38.479,200,38.479
2016-09-22,39.231,40.055,39.041,39.265,200,39.265
2016-09-21,38.46,39.305,38.432,39.305,000,39.305
2016-09-20,38.622,38.653,38.135,38.33,000,38.33
2016-09-19,39.11,39.11,38.521,38.64,000,38.64
2016-09-16,38.914,39.19,38.871,39.19,000,39.19
2016-09-15,38.46,38.895,38.46,38.895,000,38.895
2016-09-14,38.327,38.523,38.287,38.427,000,38.427
2016-09-13,38.393,38.425,37.949,38.25,000,38.25
2016-09-12,37.57,38.685,37.417,38.685,1200,38.685
2016-09-09,39.153,39.161,38.265,38.38,000,38.38
2016-09-08,39.254,39.429,38.725,39.37,000,39.37
2016-09-07,39.467,39.918,39.229,39.34,200,39.34
2016-09-06,38.61,39.541,38.61,39.541,000,39.541
2016-09-05,38.385,38.727,38.385,38.59,000,38.59
2016-09-02,38.18,38.73,38.18,38.73,000,38.73
2016-09-01,38.291,38.53,38.16,38.16,500,38.16
2016-08-31,38.095,38.238,38.095,38.225,000,38.225
2016-08-30,37.703,38.224,37.485,38.13,1500,38.13
2016-08-29,37.594,37.787,37.588,37.775,100,37.775
2016-08-26,37.081,37.558,37.057,37.558,000,37.558
2016-08-25,37.083,37.191,36.91,37.185,000,37.185
2016-08-24,37.502,37.763,37.08,37.08,200,37.08
2016-08-23,37.407,37.79,37.353,37.79,000,37.79
2016-08-22,37.966,37.966,37.383,37.505,100,37.505
2016-08-19,37.702,37.926,37.702,37.85,2000,37.85
2016-08-18,37.594,37.823,37.292,37.73,000,37.73
2016-08-17,37.599,37.755,37.588,37.755,000,37.755
2016-08-16,37.845,37.845,37.23,37.666,000,37.666
2016-08-15,38.417,38.45,38.052,38.052,1500,38.052
2016-08-12,36.933,38.39,36.921,38.39,200,38.39
2016-08-11,35.772,37.335,35.752,37.17,1500,37.17
2016-08-10,35.061,35.651,35.061,35.452,000,35.452
2016-08-09,35.269,36.05,35.087,35.134,600,35.134
2016-08-08,35.016,35.27,35.016,35.248,000,35.248
2016-08-05,34.769,35.285,34.769,35.14,200,35.14
2016-08-04,34.348,34.875,34.265,34.875,000,34.875
2016-08-03,34.263,34.37,34.083,34.37,100,34.37
2016-08-02,34.609,34.609,34.013,34.013,200,34.013
2016-08-01,34.138,34.68,33.92,34.625,200,34.625
2016-07-29,34.855,34.855,34.293,34.293,200,34.293
2016-07-28,34.78,34.826,34.421,34.775,1100,34.775
2016-07-27,35.198,35.281,34.939,34.96,1200,34.96
2016-07-26,34.546,35.073,34.36,35.073,1200,35.073
2016-07-25,36.80,37.36,34.722,34.722,3900,34.722
2016-07-22,35.171,35.805,35.171,35.805,200,35.805
2016-07-21,35.066,35.90,35.066,35.158,500,35.158
2016-07-20,34.475,35.305,34.475,35.215,200,35.215
2016-07-19,33.928,34.803,33.736,34.535,000,34.535
2016-07-18,33.862,34.004,33.862,34.004,000,34.004
2016-07-15,34.027,34.208,33.832,34.095,800,34.095
2016-07-14,33.816,34.045,33.805,34.045,000,34.045
2016-07-13,34.065,34.229,33.79,33.905,000,33.905
2016-07-12,34.153,34.438,34.065,34.25,500,34.25
2016-07-11,33.823,34.118,33.81,34.118,000,34.118
2016-07-08,33.686,34.074,33.686,34.065,000,34.065
2016-07-07,33.698,34.072,33.698,33.86,200,33.86
2016-07-06,33.824,33.824,33.568,33.712,000,33.712
2016-07-05,33.872,33.872,33.67,33.67,200,33.67
2016-07-04,33.845,34.032,33.845,34.032,500,34.032
2016-07-01,33.713,34.08,33.543,34.08,300,34.08
2016-06-30,33.196,33.825,33.196,33.825,000,33.825
2016-06-29,32.576,33.295,32.56,33.295,000,33.295
2016-06-28,31.59,32.57,31.55,32.57,000,32.57
2016-06-27,32.596,32.596,31.849,31.875,000,31.875
2016-06-24,31.10,33.003,31.10,32.44,700,32.44
2016-06-23,32.659,33.11,32.659,33.085,000,33.085
2016-06-22,33.087,33.176,32.911,33.02,000,33.02
2016-06-21,32.874,33.112,32.745,33.055,000,33.055
2016-06-20,32.286,33.09,32.286,33.032,000,33.032
2016-06-17,33.153,33.153,32.714,32.785,000,32.785
2016-06-16,32.812,33.516,32.812,33.19,000,33.19
2016-06-15,33.154,33.436,32.98,32.98,200,32.98
2016-06-14,32.171,33.26,32.171,33.26,000,33.26
2016-06-13,32.462,32.558,32.098,32.42,400,32.42
2016-06-10,32.986,33.266,32.475,32.67,1000,32.67
2016-06-09,32.35,33.001,32.35,32.967,000,32.967
2016-06-08,32.214,32.503,32.214,32.461,200,32.461
2016-06-07,32.572,32.71,32.365,32.365,000,32.365
2016-06-06,32.123,32.559,32.05,32.559,000,32.559
2016-06-03,33.037,33.375,32.16,32.175,000,32.175
2016-06-02,32.346,33.205,32.346,33.205,000,33.205
2016-06-01,33.498,33.498,33.267,33.267,000,33.267
2016-05-31,33.836,33.836,33.813,33.813,000,33.813
2016-05-30,33.951,33.951,33.785,33.827,000,33.827
2016-05-27,32.651,34.00,32.651,34.00,400,34.00
2016-05-26,31.547,32.835,31.547,32.835,000,32.835
2016-05-25,33.667,33.737,32.672,32.672,000,32.672
2016-05-24,32.349,33.605,32.349,33.605,000,33.605
2016-05-23,32.47,32.818,32.393,32.726,000,32.726
2016-05-20,33.043,33.043,31.924,32.559,1100,32.559
2016-05-19,32.975,32.983,32.81,32.81,300,32.81
2016-05-18,32.915,33.179,32.87,33.025,000,33.025
2016-05-17,32.914,33.25,32.914,32.96,000,32.96
2016-05-16,32.225,32.225,32.225,32.225,000,32.225
2016-05-13,32.329,32.606,32.225,32.225,000,32.225
2016-05-12,32.66,32.66,32.335,32.55,600,32.55
2016-05-11,32.596,32.869,32.596,32.869,000,32.869
2016-05-10,32.619,32.85,32.616,32.85,000,32.85
2016-05-09,32.568,32.665,32.543,32.665,000,32.665
2016-05-06,32.109,32.59,32.08,32.59,000,32.59
2016-05-05,31.40,32.53,31.40,32.53,000,32.53
